"sys_SequentialRespondentNumber","sys_StartTime","sys_EndTime","sys_ElapsedTime","sys_InternalRespNum","sys_CBCVersion_CBC","mtwid","consent1_1","consent2_1","consent3_1","pastbuyer","futurebuyer","primarybuyer","quota","CarMake","CarModel","VehicleOwnership","dailyvmt","annualvmt","carsizeselect","carimagesmall","carimagemid","carimagelarge","Topcarsmall_1","Topcarsmall_2","Topcarsmall_3","Topcarsmall_4","Topcarsmall_5","Topcarsmall_6","Topcarsmall_7","Topcarsmall_8","Topcarmid_1","Topcarmid_2","Topcarmid_3","Topcarmid_4","Topcarmid_5","Topcarmid_6","Topcarmid_7","Topcarmid_8","Topcarlarge_1","Topcarlarge_2","Topcarlarge_3","Topcarlarge_4","Topcarlarge_5","Topcarlarge_6","Topcarlarge_7","Topcarlarge_8","CBCFIX1","CBCRAN1","CBCRAN2","CBCRAN3","CBCRAN4","CBCRAN5","CBCRAN6","CBCRAN7","CBCRAN8","CBCRAN9","CBCRAN10","CBCRAN11","CBCRAN12","CBCRAN13","CBCRAN14","CBCRAN15","productuseratings_r1","productuseratings_r2","productuseratings_r3","productuseratings_r4","productuseratings_r5","productuseratings_r6","EnvLifeRatings_r1","EnvLifeRatings_r2","EnvLifeRatings_r3","EnvLifeRatings_r4","DrivingTypeExper_1","DrivingTypeExper_2","DrivingTypeExper_3","DrivingTypeExper_4","DrivingTypeExper_5","consideration_1","consideration_2","consideration_3","consideration_4","consideration_5","parkingHomeGarage","parkingHomeStructure","parkingHomeDriveway","parkingHomeStreet","parkingHomeOther","slowchargingaccess_1","slowchargingaccess_2","slowchargingaccess_3","slowchargingaccess_4","slowchargingaccess_5","slowchargingaccess_6","slowchargingaccess_7","slowchargingaccess_8","slowchargingaccess_9","fastchargingaccess","brandrank1","brankrank2","brandrank3","maintenance","income","sex","householdsize","YOB","zipcode","education","children","marriage","sys_RespStatus","sys_DispositionCode","sys_UserAgent","sys_Browser","sys_OperatingSystem","sys_IPAddress","sys_UserJavaScript","comments","enthusiast"
13,2013-2-17 19:12,2013-2-17 19:24,724,1242194,101,"",1,1,1,3,3,1,5,7,"trailblazer",3,9,9,3,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2,2,1,2,2,2,1,2,2,1,3,3,1,2,3,2,4,5,4,4,2,4,4,,1,,1,2,0,0,0,1,2,0,0,0,3,1,3,3,1,1,0,3,0,0,0,0,0,0,2,10,9,8,3,11,1,1,21,"15238",6,1,1,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0","Firefox 12.0","Windows NT 6.1","127.0.0.1",1,"I'll WALK before I ever buy a Chinese car.",1
14,2013-2-17 20:00,2013-2-17 20:10,611,1254959,732,"",1,1,1,2,2,3,2,16,"ml350",4,9,3,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,3,2,2,2,3,2,2,1,3,1,3,1,2,2,3,3,,,5,,,,,,,,1,0,0,0,0,1,0,0,0,0,3,3,3,3,3,1,0,0,0,0,0,0,0,0,1,6,16,5,1,12,2,8,14,"15237",5,6,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0","Firefox 12.0","Windows NT 6.1","127.0.0.1",1,"",1
15,2013-2-16 00:18,2013-2-16 00:32,833,593276,99,"",1,1,1,2,2,1,1,20,"Forester",4,8,4,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,3,2,3,3,2,3,2,2,2,1,2,2,3,5,3,4,5,4,5,4,3,3,3,1,0,0,0,0,1,0,0,0,0,3,2,3,3,3,1,0,3,0,0,0,0,0,0,3,18,20,23,5,11,1,3,15,"15642",6,3,2,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"good survey",1
16,2013-2-15 22:40,2013-2-15 22:52,728,1210047,134,"",1,1,1,2,2,1,1,8,"Jeep Grand Cherokee",4,6,7,3,,,5,,,,,,,,,,,,,,,,,5,,,,,,,,2,3,1,2,1,2,2,1,1,3,1,2,3,3,2,2,4,4,5,4,5,4,3,2,2,5,1,2,0,4,0,1,2,0,0,0,5,1,6,1,6,1,0,3,0,5,0,0,0,0,2,2,22,16,5,11,1,4,19,"15317",5,3,2,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",1
17,2013-2-15 22:57,2013-2-15 23:05,448,1299468,288,"",1,1,1,2,4,3,2,11,"oddysey",4,3,9,2,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,2,1,2,2,3,2,3,3,2,1,2,2,2,3,1,2,5,5,5,5,3,3,1,3,4,4,1,0,0,0,0,0,2,3,0,0,3,7,6,1,7,1,0,0,0,0,0,0,0,0,2,11,20,22,3,11,2,4,24,"15626",6,3,2,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",3
18,2013-2-16 20:40,2013-2-16 20:54,831,537604,804,"",1,1,1,1,2,1,3,9,"Taurus",2,3,4,1,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,3,3,1,2,1,2,1,1,1,2,2,3,5,5,5,5,1,5,4,1,4,4,1,0,0,0,0,1,0,3,0,0,2,1,3,2,1,1,0,3,4,0,0,0,0,0,3,7,22,10,4,6,2,3,32,"15137",6,1,1,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",2
19,2013-2-16 16:58,2013-2-16 17:04,368,555289,948,"",1,1,1,3,2,3,4,13,"Sorento",4,9,9,3,,,6,,,,,,,,,,,,,,,,,6,,,,,,,,3,2,3,3,3,3,3,1,1,2,3,2,3,1,3,3,4,5,5,5,3,5,4,1,1,1,1,0,0,0,0,1,0,0,0,0,3,5,5,4,3,1,0,0,0,0,0,0,0,0,2,10,8,13,1,11,1,4,20,"15473",5,3,2,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",1
20,2013-2-16 15:51,2013-2-16 15:59,428,604960,199,"",1,1,1,3,2,1,3,7,"Trailblazer",3,8,9,2,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,2,1,1,2,2,1,3,3,2,2,2,3,1,3,2,1,4,3,5,4,1,3,2,3,3,2,1,2,0,0,0,1,2,0,0,0,2,1,3,1,1,1,0,0,0,0,0,0,0,0,3,6,10,7,4,11,1,2,39,"150",,,,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",
21,2013-2-16 18:37,2013-2-16 18:43,404,745119,121,"",1,1,1,2,4,3,2,22,"4Runner",4,5,4,2,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,2,2,1,1,1,2,3,3,1,1,2,3,1,3,1,3,5,4,5,5,3,5,5,3,3,4,1,0,0,0,0,1,2,0,0,0,3,7,6,6,6,0,0,0,0,0,0,0,0,0,2,22,18,1,5,11,1,4,50,"26301",5,1,1,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",1
22,2013-2-16 18:19,2013-2-16 18:31,739,813523,247,"",1,1,1,3,3,3,6,9,"Flex",4,7,6,3,,,4,,,,,,,,,,,,,,,,,4,,,,,,,,2,3,3,2,1,3,1,3,3,2,1,1,1,1,2,1,4,3,4,4,1,4,2,4,4,4,1,2,3,0,0,1,2,3,0,0,3,1,2,2,1,1,0,3,4,0,0,0,0,0,3,9,11,22,3,11,1,4,21,"43964",4,3,2,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"Like to go to a hybrid but the price has always been too high",1
23,2013-2-16 20:12,2013-2-16 20:23,713,831217,390,"",1,1,1,3,3,3,6,9,"Escape",3,5,9,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,3,1,2,3,3,2,3,2,3,2,3,2,5,5,4,5,1,5,4,3,5,5,1,0,0,0,0,1,2,0,0,0,3,1,6,3,1,1,0,0,0,0,0,0,0,0,3,9,12,15,4,5,2,2,48,"15106",5,1,1,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",2
24,2013-2-16 18:52,2013-2-16 18:53,55,951799,,"",1,1,1,3,4,3,-1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,4,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",
25,2013-2-16 16:42,2013-2-16 16:51,501,1146260,540,"",1,1,1,3,2,1,3,1,"",1,9,7,3,,,7,,,,,,,,,,,,,,,,,7,,,,,,,,2,2,2,3,3,1,2,2,2,2,3,2,1,3,2,3,5,5,5,5,2,3,3,3,4,4,1,0,0,0,0,1,2,0,4,0,1,1,1,1,6,0,0,0,0,0,0,0,0,0,3,11,22,18,2,5,2,5,41,"26574",5,5,3,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",2
26,2013-2-16 18:48,2013-2-16 18:49,86,1156693,,"",1,1,1,3,4,3,-1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,4,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",
27,2013-2-16 15:39,2013-2-16 15:48,535,1423995,30,"",1,1,1,3,2,3,4,11,"odyssey",4,5,7,1,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,1,1,3,3,3,3,3,1,2,2,3,1,4,4,5,4,4,5,3,4,5,5,1,0,0,0,0,1,2,0,0,0,1,1,5,1,1,0,0,3,0,0,0,7,0,0,2,7,11,8,4,12,1,5,27,"15009",4,4,2,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",1
28,2013-2-17 19:02,2013-2-17 19:15,787,1291477,73,"",1,1,1,3,2,3,4,25,"",3,9,8,3,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2,2,3,1,3,2,1,2,2,1,3,3,2,1,3,1,5,5,5,4,1,5,5,5,4,4,1,0,0,0,0,0,2,3,4,0,3,7,5,7,7,1,0,0,0,0,0,0,0,0,2,22,10,8,3,11,2,2,32,"15044",7,1,2,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"I am interested in the hybrid and electric technology but require more distance between plug ins.  Also, cargo capacity and style are very important to me.  I am interested in a vehicle with 40 mpg and large fuel capacity.  Prefer american.  Would sacrafice acceleration speed.",1
29,2013-2-15 19:51,2013-2-15 19:51,0,1194694,,"",,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,2,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",
30,2013-2-16 00:16,2013-2-16 00:16,0,1249797,,"",,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,2,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)","MSIE 9.0","Windows NT 6.1","127.0.0.1",1,"",
31,2013-2-16 20:08,2013-2-16 20:15,396,735321,857,"",1,1,1,3,2,3,4,9,"ranger",3,3,4,2,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,2,2,2,3,3,2,2,3,2,2,1,2,1,2,2,1,5,5,3,5,1,4,4,3,4,3,1,2,0,0,0,1,2,3,0,0,2,1,3,6,1,1,0,0,0,0,0,0,0,0,3,10,9,18,3,7,1,3,41,"15234",5,2,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11","Chrome 20.0.1132.57","Windows NT 6.1","127.0.0.1",1,"",2
32,2013-2-15 22:10,2013-2-15 22:22,676,953440,986,"",1,1,1,3,3,1,5,7,"equinox",3,9,9,2,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,2,2,1,3,1,1,3,1,2,2,2,2,1,3,3,2,4,2,4,4,2,4,4,2,3,3,1,0,0,0,0,1,2,3,4,0,3,7,5,5,7,0,0,0,0,0,0,0,0,0,2,7,10,9,5,10,2,3,36,"48734",5,2,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11","Chrome 20.0.1132.57","Windows NT 6.1","127.0.0.1",1,"",1
33,2013-2-15 22:42,2013-2-15 22:58,981,1097343,834,"",1,1,1,2,4,1,1,11,"crv",4,9,7,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,3,1,1,2,2,1,2,3,2,3,2,3,5,3,4,4,2,4,2,2,3,4,0,2,0,0,0,1,2,0,0,0,3,7,5,5,7,1,0,3,4,0,0,0,0,9,2,11,20,9,4,9,1,4,22,"15239",2,3,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11","Chrome 20.0.1132.57","Windows NT 6.1","127.0.0.1",1,"",1
34,2013-2-16 19:40,2013-2-16 19:47,407,1185437,291,"",1,1,1,3,2,3,4,9,"f150",4,7,7,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,3,3,1,1,3,1,1,1,1,1,3,3,5,2,,5,1,5,1,5,3,3,0,2,0,0,0,0,2,0,0,0,5,4,5,1,2,1,0,3,0,0,0,0,0,0,3,9,4,10,4,11,2,4,26,"15438",4,3,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11","Chrome 20.0.1132.57","Windows NT 6.1","127.0.0.1",1,"",1
35,2013-2-16 19:12,2013-2-16 19:26,840,1243522,799,"",1,1,1,3,2,3,4,10,"G6",3,8,5,3,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2,1,3,2,2,1,1,2,1,3,3,1,2,2,2,1,4,5,5,5,5,4,3,3,3,3,1,0,0,0,0,1,2,3,0,0,2,1,6,7,6,1,0,3,0,5,0,7,0,0,3,7,10,8,3,8,2,2,43,"43945",3,1,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11","Chrome 20.0.1132.57","Windows NT 6.1","127.0.0.1",1,"",1
36,2013-2-16 18:34,2013-2-16 18:41,439,1295662,320,"",1,1,1,3,2,3,4,7,"Impala",4,3,9,2,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,2,3,1,2,2,3,3,3,2,2,2,2,2,2,1,1,5,4,5,5,4,4,4,3,3,3,1,2,0,0,0,1,2,0,0,0,5,1,3,1,1,0,0,0,0,0,0,0,0,0,2,7,9,5,4,11,2,3,34,"21545",6,2,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11","Chrome 20.0.1132.57","Windows NT 6.1","127.0.0.1",1,"",2
37,2013-2-15 21:11,2013-2-15 21:21,563,1422416,150,"",1,1,1,2,4,1,1,6,"srx",2,8,1,2,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,3,2,3,3,2,3,1,3,2,1,1,2,3,1,2,3,4,4,5,5,3,5,5,3,4,4,1,0,0,0,0,0,2,0,0,0,2,2,2,2,2,0,0,0,0,0,6,0,0,0,2,6,4,18,1,7,1,1,5,"",5,4,4,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11","Chrome 20.0.1132.57","Windows NT 6.1","127.0.0.1",1,"",1
