RespNum,sys_InternalRespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,quota,consent_1,consent2_1,consent3_1,pastbuyer,futurebuyer,primarybuyer,CarMake,CarModel,VehicleOwnership,dailyvmt,annualvmt,carsizeselect,carimagesmall,carimagemid,carimagelarge,Topcarsmall_1,Topcarsmall_2,Topcarsmall_3,Topcarsmall_4,Topcarsmall_5,Topcarsmall_6,Topcarsmall_7,Topcarsmall_8,Topcarmid_1,Topcarmid_2,Topcarmid_3,Topcarmid_4,Topcarmid_5,Topcarmid_6,Topcarmid_7,Topcarmid_8,Topcarlarge_1,Topcarlarge_2,Topcarlarge_3,Topcarlarge_4,Topcarlarge_5,Topcarlarge_6,Topcarlarge_7,Topcarlarge_8,CBCFIX1,CBCRAN1,CBCRAN2,CBCRAN3,CBCRAN4,CBCRAN5,CBCRAN6,CBCRAN7,CBCRAN8,CBCRAN9,CBCRAN10,CBCRAN11,CBCRAN12,CBCRAN13,CBCRAN14,CBCRAN15,productuseratings_r1,productuseratings_r2,productuseratings_r3,productuseratings_r4,productuseratings_r5,productuseratings_r6,EnvLifeRatings_r1,EnvLifeRatings_r2,EnvLifeRatings_r3,EnvLifeRatings_r4,DrivingTypeExper_1,DrivingTypeExper_2,DrivingTypeExper_3,DrivingTypeExper_4,DrivingTypeExper_5,consideration_1,consideration_2,consideration_3,consideration_4,consideration_5,slowchargingaccess_1,slowchargingaccess_2,slowchargingaccess_3,slowchargingaccess_4,slowchargingaccess_5,fastchargingaccess,brandrank1,brankrank2,brandrank3,maintenance,income,sex,householdsize,YOB,zipcode,education,children,marriage,comments,sys_RespStatus,sys_DispositionCode,sys_CBCVersion_CBC,sys_UserAgent,sys_Browser,sys_OperatingSystem,sys_IPAddress,sys_UserJavaScript,SUVbuyer,shanghai,shenzhen,chengdu
11,1236771,7/29/11 7:51,7/29/11 7:58,408,1,1,1,1,2,2,1,15,s600,2,5,11,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,3,3,1,2,2,1,2,1,1,2,2,3,2,1,2,4,4,5,5,4,4,4,4,4,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,8,4,19,3,8,1,3,NA,NA,5,7,6,NA,5,NA,225,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
12,1521919,7/29/11 8:07,7/29/11 8:17,622,1,1,1,1,2,2,1,1,NA,1,10,16,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,2,3,3,2,2,3,2,1,2,3,1,1,4,4,5,5,4,4,4,4,5,3,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,NA,10,6,21,4,6,1,2,NA,NA,8,1,NA,NA,5,NA,511,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
13,501110,7/29/11 8:22,7/29/11 8:33,642,1,1,1,1,2,2,1,11,�˚��_,2,7,13,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,3,2,1,3,2,2,3,1,3,2,3,2,4,4,5,5,4,4,4,4,4,3,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,5,13,19,3,5,1,4,NA,NA,5,7,6,NA,5,NA,478,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
14,1020369,7/29/11 8:39,7/29/11 8:49,605,1,1,1,1,2,2,1,1,NA,1,7,13,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,1,2,3,3,3,3,3,2,3,2,1,1,4,4,5,5,4,4,4,4,4,4,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,2,14,3,2,6,1,2,NA,NA,5,1,2,NA,5,NA,74,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
15,1054398,7/29/11 8:55,7/29/11 9:05,583,1,1,1,1,2,2,1,31,qq,1,4,6,1,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,1,1,2,1,2,3,1,2,3,1,1,3,4,4,5,5,4,4,4,4,4,3,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,7,10,21,2,5,1,3,NA,NA,8,7,6,NA,5,NA,144,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
16,1485838,7/30/11 2:25,7/30/11 2:35,574,3,1,1,1,1,2,1,1,NA,1,10,16,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,3,2,1,2,1,2,2,2,3,1,2,2,4,4,5,5,3,3,3,3,5,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,3,5,7,19,1,9,1,3,49,NA,4,1,1,NA,5,NA,478,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
17,1426890,7/30/11 2:47,7/30/11 2:58,636,5,1,1,1,3,3,1,11,��_�__,2,7,12,1,8,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,2,2,2,3,1,2,3,2,3,2,1,4,4,5,5,3,4,4,3,4,3,1,0,0,0,0,1,0,3,0,0,0,2,3,0,0,1,2,6,10,4,7,1,5,32,NA,4,2,2,NA,5,NA,606,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
18,1019193,7/30/11 3:10,7/30/11 3:19,565,3,1,1,1,1,2,1,1,NA,1,10,16,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,3,3,3,2,1,1,3,2,2,2,2,1,4,4,5,5,4,4,3,3,3,3,1,0,0,0,0,1,2,0,0,0,0,0,0,4,0,3,19,9,22,1,6,1,2,45,NA,5,1,2,NA,5,NA,487,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
19,1288760,7/30/11 4:18,7/30/11 4:27,573,5,1,1,1,1,3,1,1,NA,1,10,16,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,1,3,2,1,2,1,1,1,3,2,2,5,5,5,NA,5,4,5,3,5,5,1,0,0,0,0,1,0,3,0,0,0,0,0,0,5,3,12,3,20,4,6,1,2,47,NA,4,1,2,NA,5,NA,634,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
20,872086,7/30/11 7:18,7/30/11 7:29,658,5,1,1,1,3,3,1,21,_���__,2,4,10,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,3,2,1,2,2,2,3,1,2,2,1,1,2,2,4,5,5,5,4,3,4,4,5,1,0,0,0,5,0,2,3,0,0,0,0,0,0,5,3,2,19,21,4,7,1,2,39,NA,4,1,2,NA,5,NA,104,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
21,875930,7/30/11 7:48,7/30/11 7:59,675,3,1,1,1,1,2,1,1,NA,1,10,16,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,2,3,3,2,3,2,2,1,2,1,1,1,2,2,5,5,4,4,3,4,4,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,5,2,19,9,8,4,19,1,3,40,NA,2,2,2,NA,5,NA,100,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
22,484364,7/30/11 8:21,7/30/11 8:33,665,3,1,1,1,3,2,1,21,ά�_��,2,8,14,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,2,1,1,2,1,1,2,3,3,3,2,1,5,1,5,5,4,3,2,2,5,5,1,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1,1,14,2,2,10,1,3,29,NA,1,2,2,NA,5,NA,753,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
23,1227879,7/30/11 8:58,7/30/11 9:07,507,5,1,1,1,3,3,1,21,_���__,2,5,6,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,1,3,2,3,2,3,2,3,1,2,3,3,3,2,3,4,2,5,5,3,3,5,4,4,5,1,0,0,0,0,1,2,3,0,0,0,0,0,0,5,3,3,19,33,3,19,1,3,36,NA,2,2,2,NA,5,NA,618,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,0,0,0,0
24,512306,7/27/12 6:12,7/27/12 6:26,825,1,1,1,1,2,2,1,11,�˚��_,2,2,15,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,2,1,3,2,3,3,1,1,3,2,2,2,3,4,2,5,5,3,4,2,3,4,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,2,3,5,3,12,1,3,44,NA,5,2,2,NA,5,NA,230,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,0,0,0,0
25,581601,7/29/12 5:49,7/29/12 6:00,633,1,1,1,1,2,2,1,3,X5,3,7,14,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,1,3,2,3,2,3,2,2,3,2,2,2,4,4,5,5,2,4,4,4,5,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,14,6,2,8,1,8,NA,NA,6,7,6,NA,5,NA,997,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,0,0,0,0
26,636031,7/30/12 3:31,7/30/12 3:42,708,3,1,1,1,1,2,1,NA,NA,1,10,16,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,3,3,1,1,3,1,3,3,2,3,1,2,4,4,5,5,4,5,4,5,4,3,1,0,0,0,0,1,0,3,0,0,0,0,0,0,5,1,15,13,14,3,7,1,3,45,NA,4,2,2,NA,5,NA,649,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,0,0,0,0
27,652550,7/30/12 8:59,7/30/12 9:11,690,3,1,1,1,3,2,1,31,QQ,2,6,7,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,1,3,2,1,1,2,2,3,2,1,2,1,4,4,5,5,2,4,4,4,4,3,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,2,3,1,3,19,1,3,NA,NA,5,7,6,NA,5,NA,207,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,0,0,0,0
28,681043,7/27/12 7:13,7/27/12 7:24,689,1,1,1,1,2,2,1,19,Ϋ�_��,2,6,11,1,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,2,3,1,2,1,1,3,2,2,1,2,1,4,4,5,5,2,5,4,5,5,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,11,8,13,2,5,1,4,54,NA,8,NA,6,NA,5,NA,318,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,0,0,0,0
29,717802,7/29/12 7:50,7/29/12 8:02,696,3,1,1,1,1,2,1,NA,NA,1,10,16,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,1,1,2,3,1,1,3,1,3,2,3,1,4,5,5,5,4,5,4,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,14,15,22,1,5,1,3,45,NA,4,2,2,NA,5,NA,839,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,0,0,0,0
30,721281,7/27/12 3:48,7/27/12 3:58,618,5,1,1,1,3,3,1,31,_�����__,2,2,15,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,3,3,3,2,1,1,3,3,2,2,1,3,3,4,4,3,3,4,3,4,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,3,12,19,13,1,13,2,3,42,NA,2,2,2,NA,5,NA,570,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,0,0,0,0
31,830682,7/29/12 4:28,7/29/12 4:39,645,3,1,1,1,3,2,1,31,QQ,2,3,6,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,2,1,3,2,2,2,1,1,3,2,3,3,4,2,5,5,4,4,4,4,5,3,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,13,11,22,3,4,1,NA,NA,NA,8,7,6,NA,5,NA,265,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,0,0,0,0
32,906537,7/30/12 7:57,7/30/12 8:07,594,1,1,1,1,2,3,1,31,QQ,2,4,8,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,3,3,1,3,3,1,2,3,2,2,3,3,4,4,5,5,4,4,4,4,4,3,1,0,0,0,0,1,0,0,0,0,0,2,0,0,5,NA,14,15,32,NA,19,1,3,NA,NA,5,2,2,NA,5,NA,216,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,0,0,0,0
33,929222,7/23/12 7:20,7/23/12 7:30,625,3,1,1,1,1,2,1,21,_��_,2,7,2,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,2,1,3,3,1,3,2,1,2,3,1,1,2,4,5,5,5,4,1,3,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,20,9,19,2,8,1,3,46,101300,4,1,4,NA,5,NA,193,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,0,0,0,0
34,1059896,7/29/12 5:07,7/29/12 5:18,655,3,1,1,1,3,2,1,2,A6,2,7,14,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,3,3,3,2,2,2,3,1,2,1,1,2,4,4,5,5,4,4,4,4,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,19,10,9,2,9,1,3,NA,NA,2,2,2,NA,5,NA,75,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,0,0,0,0
