RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_InternalRespNum,sys_CBCVersion_CBC,mtwid,consent1_1,consent2_1,consent3_1,pastbuyer,futurebuyer,primarybuyer,quota,CarMake,CarModel,VehicleOwnership,dailyvmt,annualvmt,carsizeselect,carimagesmall,carimagemid,carimagelarge,Topcarsmall_1,Topcarsmall_2,Topcarsmall_3,Topcarsmall_4,Topcarsmall_5,Topcarsmall_6,Topcarsmall_7,Topcarsmall_8,Topcarmid_1,Topcarmid_2,Topcarmid_3,Topcarmid_4,Topcarmid_5,Topcarmid_6,Topcarmid_7,Topcarmid_8,Topcarlarge_1,Topcarlarge_2,Topcarlarge_3,Topcarlarge_4,Topcarlarge_5,Topcarlarge_6,Topcarlarge_7,Topcarlarge_8,CBCFIX1,CBCRAN1,CBCRAN2,CBCRAN3,CBCRAN4,CBCRAN5,CBCRAN6,CBCRAN7,CBCRAN8,CBCRAN9,CBCRAN10,CBCRAN11,CBCRAN12,CBCRAN13,CBCRAN14,CBCRAN15,productuseratings_r1,productuseratings_r2,productuseratings_r3,productuseratings_r4,productuseratings_r5,productuseratings_r6,EnvLifeRatings_r1,EnvLifeRatings_r2,EnvLifeRatings_r3,EnvLifeRatings_r4,DrivingTypeExper_1,DrivingTypeExper_2,DrivingTypeExper_3,DrivingTypeExper_4,DrivingTypeExper_5,consideration_1,consideration_2,consideration_3,consideration_4,consideration_5,parkingHomeGarage,parkingHomeStructure,parkingHomeDriveway,parkingHomeStreet,parkingHomeOther,slowchargingaccess_1,slowchargingaccess_2,slowchargingaccess_3,slowchargingaccess_4,slowchargingaccess_5,slowchargingaccess_6,slowchargingaccess_7,slowchargingaccess_8,slowchargingaccess_9,fastchargingaccess,brandrank1,brankrank2,brandrank3,maintenance,income,sex,householdsize,YOB,zipcode,education,children,marriage,sys_RespStatus,sys_DispositionCode,sys_UserAgent,sys_Browser,sys_OperatingSystem,sys_IPAddress,sys_UserJavaScript,comments,enthusiast,SUVbuyer
11,2/16/13 16:21,2/16/13 16:35,855,1300871,42,NA,1,1,1,3,2,3,4,15,cx 9,3,8,6,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,3,3,3,1,2,3,1,2,2,2,3,2,2,4,4,5,5,3,3,3,3,3,3,1,0,0,0,0,1,2,0,0,0,3,1,3,3,3,1,0,0,0,0,0,0,0,0,2,18,15,11,5,11,2,4,24,15135,5,3,2,5,NA,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
12,2/16/13 18:48,2/16/13 19:07,1101,1554934,107,NA,1,1,1,3,2,1,3,8,neon,3,8,6,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,1,1,1,3,3,2,2,3,2,2,2,2,5,3,3,3,1,3,1,1,1,1,1,0,0,0,0,1,2,3,4,0,3,1,6,6,6,1,0,0,0,0,0,0,0,0,3,4,23,3,3,10,1,5,18,15215,6,3,2,5,NA,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,"Build that which solves the real problem, don't be swayed by popular ""causes"".",1,0
13,2/17/13 19:46,2/17/13 19:56,598,737989,267,NA,1,1,1,2,3,1,1,11,Accord,2,7,6,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,2,1,3,1,2,3,1,2,1,2,2,1,4,5,5,4,1,5,4,2,3,3,1,0,0,0,0,1,0,0,0,0,3,6,3,6,6,1,0,3,0,0,0,0,0,0,1,3,4,16,5,11,2,3,36,15090,5,2,1,5,NA,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,NA,2,0
14,2/17/13 20:14,2/17/13 20:28,815,816177,642,NA,1,1,1,3,2,1,3,17,Eclipse Spyder,3,9,9,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,3,2,2,2,1,2,1,3,3,3,1,3,5,4,5,4,1,4,4,3,5,4,1,2,0,0,0,1,2,3,4,0,2,1,2,3,3,1,0,0,0,0,0,0,0,0,3,11,22,9,4,9,1,2,45,15226,6,1,1,5,NA,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
15,2/17/13 19:26,2/17/13 19:45,1111,1058493,321,NA,1,1,1,3,3,1,5,12,Santa Fe,3,7,8,3,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,2,3,3,3,2,2,2,2,3,2,1,1,5,5,5,5,4,5,5,4,5,5,1,2,0,0,0,1,2,3,4,0,3,1,6,1,1,1,0,0,0,0,0,7,0,0,2,23,12,9,3,8,1,1,30,26547,5,1,1,5,NA,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,Good luck with the study,1,0
16,2/17/13 20:01,2/17/13 20:12,674,1255096,829,NA,1,1,1,2,2,3,2,4,536xi,3,8,9,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,2,3,3,2,2,3,2,2,1,3,2,3,3,3,5,5,1,3,3,4,2,2,1,2,0,0,0,1,2,3,4,0,3,2,3,7,1,1,0,3,0,0,6,0,0,0,1,4,22,20,2,11,1,4,21,15237,7,3,2,5,NA,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
17,2/15/13 22:40,2/15/13 22:50,596,544155,239,NA,1,1,1,2,4,1,1,25,dodge dart,2,9,9,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,1,1,2,1,2,3,2,2,1,3,2,1,5,3,5,4,1,5,4,3,5,5,1,2,0,0,0,1,2,3,4,0,2,6,3,4,4,0,0,0,0,0,6,0,0,0,2,16,3,9,2,7,1,1,37,281,NA,NA,NA,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0,Firefox 12.0,Windows NT 6.1,127.0.0.1,1,NA,NA,0
18,2/16/13 16:18,2/16/13 16:32,856,498503,110,NA,1,1,1,2,3,3,2,22,siennna,4,8,7,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,1,3,2,3,1,1,3,3,2,1,2,3,5,4,4,5,3,3,2,2,2,3,1,0,0,0,0,1,0,3,0,0,1,1,5,1,1,0,0,0,0,5,6,0,0,0,3,9,18,5,1,11,2,4,19,37086,6,4,2,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0,Firefox 12.0,Windows NT 6.1,127.0.0.1,1,NA,2,0
19,2/16/13 21:43,2/16/13 21:53,595,683635,671,NA,1,1,1,2,4,1,1,15,3,NA,9,9,1,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,1,2,1,2,2,3,2,3,3,1,2,1,4,4,5,3,1,4,3,1,4,3,1,2,0,0,0,1,2,3,0,0,2,1,4,6,6,1,0,0,0,0,0,0,0,0,3,11,15,4,3,8,1,3,47,15217,5,1,1,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0,Firefox 12.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
20,2/16/13 19:44,2/16/13 20:02,1132,694571,493,NA,1,1,1,3,3,3,6,2,integra Type-R,4,11,11,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,1,2,1,3,3,3,1,2,3,2,1,1,3,5,3,5,5,3,5,5,2,3,3,1,2,0,0,0,1,2,3,0,0,5,1,6,5,1,1,0,3,0,0,0,0,0,0,2,11,3,16,1,12,1,7,45,15068,4,1,1,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0,Firefox 12.0,Windows NT 6.1,127.0.0.1,1,I enjoyed it because im a gear head!,1,0
21,2/16/13 15:54,2/16/13 16:02,486,908040,40,NA,1,1,1,3,3,1,5,9,taurus,3,3,6,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,1,1,1,1,2,2,2,2,1,1,3,1,5,4,5,5,3,4,2,2,2,2,1,0,0,0,0,1,2,0,0,0,3,1,3,3,3,1,0,0,0,0,0,0,0,0,2,9,12,22,3,11,1,3,33,15235,5,2,2,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0,Firefox 12.0,Windows NT 6.1,127.0.0.1,1,NA,2,0
22,2/16/13 18:13,2/16/13 18:31,1075,1018606,320,NA,1,1,1,3,2,3,4,5,century,4,9,9,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,3,1,2,3,2,1,1,3,1,2,3,3,5,4,5,4,1,1,1,3,1,1,1,0,0,0,0,1,2,3,4,0,3,6,6,1,1,1,0,3,0,0,0,0,0,0,2,5,6,9,2,10,1,4,21,15009,5,5,2,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0,Firefox 12.0,Windows NT 6.1,127.0.0.1,1,"the ""value"" matrix selection -- soon became a kind of quick evaluation of puchase vs maintenace costs vs make vs features...",1,0
23,2/16/13 16:34,2/16/13 16:43,543,1294008,385,NA,1,1,1,3,2,1,3,6,Deville,3,2,3,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,3,1,3,2,2,1,2,2,3,2,4,4,5,4,3,3,3,3,5,5,1,2,3,4,0,1,2,3,4,0,3,1,1,1,3,1,0,0,0,0,0,0,0,0,2,6,7,20,1,3,1,1,37,15666,6,1,1,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0,Firefox 12.0,Windows NT 6.1,127.0.0.1,1,Candy Good...Cameras Bad,1,0
24,2/16/13 20:27,2/16/13 20:40,740,1367811,373,NA,1,1,1,3,3,1,5,4,328xi,2,8,5,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,1,1,1,2,2,3,1,2,3,2,1,3,4,2,5,4,3,5,4,3,5,5,1,0,0,0,0,1,2,3,4,0,3,7,6,4,7,1,0,0,0,0,0,0,0,0,2,4,16,11,5,11,1,1,21,15317,5,1,1,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0,Firefox 12.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
25,2/16/13 20:14,2/16/13 20:22,517,1376878,105,NA,1,1,1,3,2,1,3,12,Tiburon GTV6,2,5,3,1,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,3,1,1,2,1,3,1,2,1,2,1,3,5,4,4,4,1,5,4,3,3,3,1,2,0,0,0,1,2,0,0,0,1,1,6,3,7,0,0,3,0,0,0,0,0,0,3,9,12,23,3,5,1,1,44,15461,6,1,1,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0,Firefox 12.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
26,2/16/13 19:16,2/16/13 19:26,614,1427715,941,NA,1,1,1,2,3,1,1,13,soul,3,4,5,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,1,1,3,2,1,2,2,1,1,3,1,1,4,3,5,5,1,4,3,3,5,5,1,0,0,0,0,1,0,0,0,0,3,3,3,1,1,0,0,0,0,0,6,0,0,0,3,13,22,8,3,8,1,2,27,15317,3,1,2,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0,Firefox 12.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
27,2/16/13 16:05,2/16/13 16:17,720,1435944,325,NA,1,1,1,3,2,1,3,22,Highlander,3,4,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,1,1,1,1,3,2,2,3,2,1,1,5,4,5,5,2,3,2,2,3,3,1,2,0,0,0,1,2,3,0,0,2,1,2,2,1,1,0,3,0,0,0,0,0,0,3,22,11,4,3,11,1,4,30,15237,6,3,2,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0,Firefox 12.0,Windows NT 6.1,127.0.0.1,1,Thanks for the candy.  Good luck with your research.,2,0
28,2/16/13 17:25,2/16/13 17:39,839,1508244,489,NA,1,1,1,2,4,3,2,4,135i,4,4,2,1,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,1,3,1,3,1,1,2,1,1,2,3,3,4,2,3,3,1,4,4,3,3,3,1,2,0,0,0,1,2,0,0,0,4,7,4,7,7,1,0,0,0,0,0,0,0,0,2,4,3,15,2,11,1,4,53,15143,2,1,1,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0,Firefox 12.0,Windows NT 6.1,127.0.0.1,1,NA,1,0
29,2/16/13 19:31,2/16/13 19:43,713,1513292,100,NA,1,1,1,2,4,1,1,17,eclipse gs,4,2,2,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,3,3,2,3,1,2,1,1,1,1,2,5,4,5,5,1,5,4,3,3,3,1,2,0,0,0,1,2,0,0,0,4,3,6,5,3,1,0,3,0,0,0,0,0,0,3,17,11,2,5,11,2,2,13,15601,5,3,NA,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0,Firefox 12.0,Windows NT 6.1,127.0.0.1,1,I love cars.  Sporty cars.,1,0
