RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_InternalRespNum,sys_CBCVersion_CBC,pastbuyer,futurebuyer,primarybuyer,quota,CarMake,CarModel,VehicleOwnership,dailyvmt,annualvmt,carsizeselect,carimagesmall,carimagemid,carimagelarge,CBCFIX1,productuseratings_r1,productuseratings_r2,productuseratings_r3,productuseratings_r4,productuseratings_r5,productuseratings_r6,EnvLifeRatings_r1,EnvLifeRatings_r2,EnvLifeRatings_r3,EnvLifeRatings_r4,DrivingTypeExper_1,DrivingTypeExper_2,DrivingTypeExper_3,DrivingTypeExper_4,DrivingTypeExper_5,consideration_1,consideration_2,consideration_3,consideration_4,consideration_5,parkingHomeGarage,parkingHomeStructure,parkingHomeDriveway,parkingHomeStreet,parkingHomeOther,slowchargingaccess_1,slowchargingaccess_2,slowchargingaccess_3,slowchargingaccess_4,slowchargingaccess_5,slowchargingaccess_6,slowchargingaccess_7,slowchargingaccess_8,slowchargingaccess_9,fastchargingaccess,brandrank1,brankrank2,brandrank3,maintenance,income,sex,householdsize,YOB,zipcode,education,children,marriage,enthusiast,SUVbuyer,shanghai,shenzhen,chengdu,usa,mturk
11,7/29/11 7:51,7/29/11 7:58,408,1236771,225,2,2,1,1,15,s600,2,5,11,3,NA,NA,3,2,4,4,5,5,4,4,4,4,4,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,19,3,8,1,3,NA,NA,5,7,6,0,0,0,0,0,0,0
12,7/29/11 8:07,7/29/11 8:17,622,1521919,511,2,2,1,1,1,NA,1,10,16,2,NA,3,NA,2,4,4,5,5,4,4,4,4,5,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,10,6,21,4,6,1,2,NA,NA,8,1,NA,0,0,0,0,0,0,0
13,7/29/11 8:22,7/29/11 8:33,642,501110,478,2,2,1,1,11,�˚��_,2,7,13,2,NA,1,NA,2,4,4,5,5,4,4,4,4,4,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,5,13,19,3,5,1,4,NA,NA,5,7,6,0,0,0,0,0,0,0
14,7/29/11 8:39,7/29/11 8:49,605,1020369,74,2,2,1,1,1,NA,1,7,13,2,NA,3,NA,2,4,4,5,5,4,4,4,4,4,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,14,3,2,6,1,2,NA,NA,5,1,2,0,0,0,0,0,0,0
15,7/29/11 8:55,7/29/11 9:05,583,1054398,144,2,2,1,1,31,qq,1,4,6,1,5,NA,NA,2,4,4,5,5,4,4,4,4,4,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,7,10,21,2,5,1,3,NA,NA,8,7,6,0,0,0,0,0,0,0
16,7/30/11 2:25,7/30/11 2:35,574,1485838,478,1,2,1,3,1,NA,1,10,16,2,NA,4,NA,2,4,4,5,5,3,3,3,3,5,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,5,7,19,1,9,1,3,49,NA,4,1,1,0,0,0,0,0,0,0
17,7/30/11 2:47,7/30/11 2:58,636,1426890,606,3,3,1,5,11,��_�__,2,7,12,1,8,NA,NA,2,4,4,5,5,3,4,4,3,4,3,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,2,6,10,4,7,1,5,32,NA,4,2,2,0,0,0,0,0,0,0
18,7/30/11 3:10,7/30/11 3:19,565,1019193,487,1,2,1,3,1,NA,1,10,16,2,NA,5,NA,2,4,4,5,5,4,4,3,3,3,3,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,19,9,22,1,6,1,2,45,NA,5,1,2,0,0,0,0,0,0,0
19,7/30/11 4:18,7/30/11 4:27,573,1288760,634,1,3,1,5,1,NA,1,10,16,2,NA,6,NA,2,5,5,5,NA,5,4,5,3,5,5,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,12,3,20,4,6,1,2,47,NA,4,1,2,0,0,0,0,0,0,0
20,7/30/11 7:18,7/30/11 7:29,658,872086,104,3,3,1,5,21,_���__,2,4,10,2,NA,8,NA,2,2,4,5,5,5,4,3,4,4,5,1,0,0,0,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2,19,21,4,7,1,2,39,NA,4,1,2,0,0,0,0,0,0,0
21,7/30/11 7:48,7/30/11 7:59,675,875930,100,1,2,1,3,1,NA,1,10,16,2,NA,7,NA,2,2,2,5,5,4,4,3,4,4,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,19,9,8,4,19,1,3,40,NA,2,2,2,0,0,0,0,0,0,0
22,7/30/11 8:21,7/30/11 8:33,665,484364,753,3,2,1,3,21,ά�_��,2,8,14,2,NA,5,NA,2,5,1,5,5,4,3,2,2,5,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,14,2,2,10,1,3,29,NA,1,2,2,0,0,0,0,0,0,0
23,7/30/11 8:58,7/30/11 9:07,507,1227879,618,3,3,1,5,21,_���__,2,5,6,3,NA,NA,4,2,4,2,5,5,3,3,5,4,4,5,1,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,19,33,3,19,1,3,36,NA,2,2,2,0,0,0,0,0,0,0
24,7/27/12 6:12,7/27/12 6:26,825,512306,230,2,2,1,1,11,�˚��_,2,2,15,2,NA,4,NA,2,4,2,5,5,3,4,2,3,4,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,3,5,3,12,1,3,44,NA,5,2,2,0,0,0,0,0,0,0
25,7/29/12 5:49,7/29/12 6:00,633,581601,997,2,2,1,1,3,X5,3,7,14,3,NA,NA,1,2,4,4,5,5,2,4,4,4,5,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,6,2,8,1,8,NA,NA,6,7,6,0,0,0,0,0,0,0
26,7/30/12 3:31,7/30/12 3:42,708,636031,649,1,2,1,3,NA,NA,1,10,16,2,NA,1,NA,2,4,4,5,5,4,5,4,5,4,3,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,15,13,14,3,7,1,3,45,NA,4,2,2,0,0,0,0,0,0,0
27,7/30/12 8:59,7/30/12 9:11,690,652550,207,3,2,1,3,31,QQ,2,6,7,2,NA,1,NA,2,4,4,5,5,2,4,4,4,4,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,1,3,19,1,3,NA,NA,5,7,6,0,0,0,0,0,0,0
28,7/27/12 7:13,7/27/12 7:24,689,681043,318,2,2,1,1,19,Ϋ�_��,2,6,11,1,5,NA,NA,2,4,4,5,5,2,5,4,5,5,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,8,13,2,5,1,4,54,NA,8,NA,6,0,0,0,0,0,0,0
29,7/29/12 7:50,7/29/12 8:02,696,717802,839,1,2,1,3,NA,NA,1,10,16,3,NA,NA,4,2,4,5,5,5,4,5,4,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,14,15,22,1,5,1,3,45,NA,4,2,2,0,0,0,0,0,0,0
30,7/27/12 3:48,7/27/12 3:58,618,721281,570,3,3,1,5,31,_�����__,2,2,15,2,NA,1,NA,2,3,3,4,4,3,3,4,3,4,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,12,19,13,1,13,2,3,42,NA,2,2,2,0,0,0,0,0,0,0
31,7/29/12 4:28,7/29/12 4:39,645,830682,265,3,2,1,3,31,QQ,2,3,6,2,NA,1,NA,2,4,2,5,5,4,4,4,4,5,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,13,11,22,3,4,1,NA,NA,NA,8,7,6,0,0,0,0,0,0,0
32,7/30/12 7:57,7/30/12 8:07,594,906537,216,2,3,1,1,31,QQ,2,4,8,2,NA,5,NA,2,4,4,5,5,4,4,4,4,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,NA,14,15,32,NA,19,1,3,NA,NA,5,2,2,0,0,0,0,0,0,0
33,7/23/12 7:20,7/23/12 7:30,625,929222,193,1,2,1,3,21,_��_,2,7,2,2,NA,5,NA,2,2,4,5,5,5,4,1,3,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,20,9,19,2,8,1,3,46,101300,4,1,4,0,0,0,0,0,0,0
34,7/29/12 5:07,7/29/12 5:18,655,1059896,75,3,2,1,3,2,A6,2,7,14,2,NA,4,NA,2,4,4,5,5,4,4,4,4,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,19,10,9,2,9,1,3,NA,NA,2,2,2,0,0,0,0,0,0,0
35,7/30/12 3:00,7/30/12 3:11,691,1070495,659,3,2,1,3,22,s40,2,2,5,2,NA,4,NA,2,3,4,5,5,3,5,3,5,2,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,21,15,1,2,6,2,4,49,NA,2,1,1,0,0,0,0,0,0,0
36,7/30/12 3:52,7/30/12 4:03,650,1142957,935,3,2,1,3,3,X5,2,3,3,2,NA,1,NA,2,3,3,4,5,4,5,4,3,4,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2,14,3,5,6,2,3,30,15000,5,2,2,0,0,0,0,0,0,0
37,7/30/12 7:27,7/30/12 7:38,644,1183233,216,1,2,1,3,1,NA,1,10,16,2,NA,5,NA,2,4,4,5,5,2,4,4,4,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,NA,9,19,10,3,6,1,4,43,NA,5,2,2,0,0,0,0,0,0,0
38,7/29/12 6:11,7/29/12 6:22,691,1183655,258,1,2,1,3,NA,NA,1,10,16,2,NA,4,NA,2,3,2,4,5,4,4,4,4,4,5,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,5,14,21,1,3,1,3,38,NA,8,2,2,0,0,0,0,0,0,0
39,7/29/12 8:08,7/29/12 8:19,667,1193050,228,1,2,1,3,NA,NA,1,10,16,2,NA,4,NA,2,3,4,5,5,3,5,3,4,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,15,21,10,2,7,1,3,41,NA,4,2,2,0,0,0,0,0,0,0
40,7/23/12 3:19,7/23/12 3:26,412,1211540,957,1,2,1,3,NA,NA,1,10,16,2,NA,5,NA,2,2,3,4,5,3,4,3,3,5,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,20,21,2,5,1,3,48,102204,5,1,1,0,0,0,0,0,0,0
41,7/23/12 6:11,7/23/12 6:17,377,1252414,406,1,2,1,3,1,NA,1,10,16,1,5,NA,NA,2,5,3,4,5,4,4,3,3,3,3,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,26,25,23,4,19,1,3,29,100088,5,2,2,0,0,0,0,0,0,0
42,7/29/12 2:17,7/29/12 2:28,651,1255561,165,3,2,1,3,38,_���__,2,4,6,2,NA,5,NA,2,4,4,5,5,4,4,4,4,5,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,19,6,1,10,1,3,54,NA,2,2,2,0,0,0,0,0,0,0
43,7/27/12 3:34,7/27/12 3:46,713,1288684,578,3,3,1,5,10,__�_ց,2,1,2,2,NA,4,NA,2,4,2,5,5,4,4,4,3,4,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,9,19,33,5,6,1,3,49,100016,5,1,1,0,0,0,0,0,0,0
44,7/23/12 4:42,7/23/12 4:52,601,1299430,260,1,2,1,3,NA,NA,1,10,16,1,5,NA,NA,2,4,2,5,5,5,5,4,4,5,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,5,30,1,4,1,3,42,NA,1,2,2,0,0,0,0,0,0,0
45,7/23/12 8:00,7/23/12 8:07,429,1305568,401,1,2,1,3,1,NA,1,10,16,1,5,NA,NA,2,4,4,5,5,2,3,2,2,5,5,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,21,13,1,4,1,6,45,NA,5,2,2,0,0,0,0,0,0,0
46,7/30/12 8:14,7/30/12 8:23,569,1330402,641,2,2,1,1,1,NA,1,5,9,3,NA,NA,1,2,4,4,5,5,2,4,4,4,4,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,8,9,19,2,6,1,3,39,NA,5,7,6,0,0,0,0,0,0,0
47,7/27/12 2:23,7/27/12 2:35,679,1337180,243,3,2,1,3,31,QQ,2,4,3,2,NA,6,NA,2,5,3,5,5,1,3,4,4,5,5,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,7,19,10,4,7,1,3,40,NA,2,2,2,0,0,0,0,0,0,0
48,7/29/12 3:08,7/29/12 3:35,1599,1338005,578,1,3,1,5,1,NA,1,10,16,1,5,NA,NA,2,4,3,5,5,3,4,3,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,12,19,10,3,3,1,3,29,102209,1,2,2,0,0,0,0,0,0,0
49,7/30/12 8:39,7/30/12 8:47,537,1390482,336,2,2,1,1,15,s350,1,6,11,2,NA,1,NA,2,4,4,5,5,4,4,4,4,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,14,2,3,13,1,3,43,NA,6,2,2,0,0,0,0,0,0,0
50,7/30/12 6:42,7/30/12 6:55,770,1398796,524,2,3,1,1,11,___΃���_,2,3,4,2,NA,1,NA,2,4,2,5,5,4,4,4,4,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,19,2,3,4,1,3,41,NA,5,2,2,0,0,0,0,0,0,0
51,7/23/12 8:26,7/23/12 8:35,557,1422568,262,1,2,1,3,NA,NA,1,10,16,2,NA,7,NA,2,3,2,5,5,3,4,2,3,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,11,14,18,4,19,1,3,28,NA,2,7,6,0,0,0,0,0,0,0
52,7/30/12 5:09,7/30/12 5:20,635,1438973,735,1,2,1,3,NA,NA,1,10,16,3,NA,NA,6,2,3,4,5,5,4,5,4,3,4,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,1,10,15,2,7,1,3,42,NA,4,2,2,0,0,0,0,0,0,0
53,7/30/12 6:28,7/30/12 6:37,587,1514619,797,2,2,1,1,21,__�_ց,2,5,10,2,NA,1,NA,2,3,4,5,5,2,4,4,4,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,13,14,3,2,19,1,3,NA,NA,5,3,6,0,0,0,0,0,0,0
54,7/30/12 3:13,7/30/12 3:25,736,1537438,608,2,2,1,1,14,_�又ȏ__5,3,7,13,1,8,NA,NA,2,4,4,5,5,2,4,4,4,4,4,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,20,16,18,5,13,1,6,41,NA,4,2,2,0,0,0,0,0,0,0
55,7/29/12 3:54,7/29/12 4:09,870,1539632,933,3,2,1,3,13,206,2,6,7,2,NA,1,NA,2,4,3,5,5,3,4,4,3,3,3,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,12,7,10,4,15,1,3,34,102209,5,2,2,0,0,0,0,0,0,0
56,7/23/12 8:41,7/23/12 8:50,529,1556148,721,1,2,1,3,NA,NA,1,10,16,2,NA,1,NA,2,3,3,5,5,4,5,2,3,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,9,14,8,2,19,1,3,28,NA,2,2,2,0,0,0,0,0,0,0
57,7/29/12 8:46,7/29/12 8:57,675,1657129,891,1,2,1,3,NA,NA,1,10,16,1,4,NA,NA,2,3,4,5,5,4,5,3,4,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,10,21,15,2,10,1,3,41,NA,5,2,2,0,0,0,0,0,0,0
58,7/30/12 6:07,7/30/12 6:17,613,1677596,529,2,3,1,1,21,_��_�,4,6,3,2,NA,3,NA,2,3,2,5,5,2,4,4,2,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,20,21,1,13,2,4,36,NA,4,2,2,0,0,0,0,0,0,0
59,7/29/12 8:08,7/29/12 8:17,587,547473,858,1,2,1,3,1,NA,1,10,16,2,NA,2,NA,2,1,3,4,5,3,4,3,4,5,5,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2,5,14,1,3,1,3,46,NA,5,1,2,0,0,0,0,0,0,0
60,7/23/12 7:18,7/23/12 7:26,484,551620,78,1,2,1,3,NA,NA,1,10,16,1,5,NA,NA,2,4,4,5,5,5,4,2,4,4,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,20,11,18,3,1,1,3,28,NA,2,2,2,0,0,0,0,0,0,0
61,7/29/12 7:04,7/29/12 7:15,662,597006,11,1,2,1,3,NA,NA,1,10,16,1,8,NA,NA,2,3,3,4,5,4,5,4,3,3,4,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2,7,10,3,4,1,3,48,NA,5,1,1,0,0,0,0,0,0,0
62,7/29/12 7:55,7/29/12 8:02,383,632087,583,1,2,1,3,1,NA,1,10,16,2,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
63,7/29/12 6:53,7/29/12 7:01,455,635031,189,1,2,1,3,1,NA,1,10,16,1,6,NA,NA,2,4,3,5,5,4,4,4,4,4,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,14,6,2,19,1,3,NA,NA,5,2,2,0,0,0,0,0,0,0
64,7/30/12 2:43,7/30/12 2:57,831,865284,488,2,2,1,1,1,NA,1,10,16,2,NA,1,NA,2,4,4,5,5,4,4,4,4,4,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,8,13,8,2,5,1,2,NA,NA,8,7,6,0,0,0,0,0,0,0
65,7/23/12 6:45,7/23/12 6:52,441,953416,972,1,2,1,3,NA,NA,1,10,16,2,NA,4,NA,2,2,5,5,5,3,3,1,3,5,3,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,14,8,2,18,1,3,27,100191,5,2,2,0,0,0,0,0,0,0
66,7/30/12 7:09,7/30/12 7:22,759,1013856,667,3,2,1,3,21,__�_ց,2,4,9,1,2,NA,NA,2,3,4,5,5,4,5,4,5,3,4,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,15,10,2,3,7,1,3,48,NA,4,1,1,0,0,0,0,0,0,0
67,7/30/12 5:54,7/30/12 6:03,577,1055939,995,2,2,1,1,21,_���__,2,6,9,3,NA,NA,4,2,3,5,4,5,3,5,4,2,4,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,20,16,15,3,5,1,3,43,NA,4,2,2,0,0,0,0,0,0,0
68,7/29/12 6:36,7/29/12 6:48,711,1059821,20,2,2,1,1,2,A4,2,6,12,2,NA,1,NA,2,4,4,5,5,2,4,4,5,5,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3,14,2,3,8,NA,3,NA,NA,5,2,2,0,0,0,0,0,0,0
69,7/30/12 7:29,7/30/12 7:41,699,1071571,176,3,2,1,3,21,_���__,2,2,7,2,NA,6,NA,2,3,5,5,5,4,5,3,4,5,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,10,5,15,3,9,1,3,47,NA,4,2,2,0,0,0,0,0,0,0
70,7/29/12 5:49,7/29/12 6:01,676,1186375,709,1,2,1,3,1,NA,1,10,16,2,NA,4,NA,2,3,3,5,5,4,4,3,3,4,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,14,12,2,3,10,2,3,42,NA,5,2,2,0,0,0,0,0,0,0
71,7/29/12 2:10,7/29/12 2:20,581,1226438,836,1,2,1,3,6,�˚��_ά�,1,1,16,2,NA,7,NA,2,5,4,4,5,4,4,1,4,4,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,1,5,3,12,1,3,44,NA,6,2,2,0,0,0,0,0,0,0
72,7/30/12 5:10,7/30/12 5:22,718,1229633,623,2,2,1,1,21,_���__,2,5,8,2,NA,5,NA,2,4,2,5,5,2,4,4,4,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,30,8,6,3,19,1,3,NA,NA,5,7,6,0,0,0,0,0,0,0
73,7/30/12 5:30,7/30/12 5:41,673,1382566,176,3,3,1,5,21,__�_ց,2,3,6,2,NA,1,NA,2,4,4,5,5,2,4,4,4,4,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,3,0,5,0,0,0,0,1,10,9,7,3,8,NA,4,54,NA,5,2,2,0,0,0,0,0,0,0
74,7/29/12 7:22,7/29/12 7:34,672,1398810,538,2,2,1,1,28,Ϋ�Ϋ�,2,3,10,2,NA,1,NA,2,2,3,4,5,4,4,3,4,4,4,1,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,1,5,12,1,19,1,3,45,NA,5,1,2,0,0,0,0,0,0,0
