"sys_SequentialRespondentNumber","sys_InternalRespNum","sys_StartTime","sys_EndTime","sys_ElapsedTime","quota","consent_1","consent2_1","consent3_1","pastbuyer","futurebuyer","primarybuyer","CarMake","CarModel","VehicleOwnership","dailyvmt","annualvmt","carsizeselect","carimagesmall","carimagemid","carimagelarge","Topcarsmall_1","Topcarsmall_2","Topcarsmall_3","Topcarsmall_4","Topcarsmall_5","Topcarsmall_6","Topcarsmall_7","Topcarsmall_8","Topcarmid_1","Topcarmid_2","Topcarmid_3","Topcarmid_4","Topcarmid_5","Topcarmid_6","Topcarmid_7","Topcarmid_8","Topcarlarge_1","Topcarlarge_2","Topcarlarge_3","Topcarlarge_4","Topcarlarge_5","Topcarlarge_6","Topcarlarge_7","Topcarlarge_8","CBCFIX1","CBCRAN1","CBCRAN2","CBCRAN3","CBCRAN4","CBCRAN5","CBCRAN6","CBCRAN7","CBCRAN8","CBCRAN9","CBCRAN10","CBCRAN11","CBCRAN12","CBCRAN13","CBCRAN14","CBCRAN15","productuseratings_r1","productuseratings_r2","productuseratings_r3","productuseratings_r4","productuseratings_r5","productuseratings_r6","EnvLifeRatings_r1","EnvLifeRatings_r2","EnvLifeRatings_r3","EnvLifeRatings_r4","DrivingTypeExper_1","DrivingTypeExper_2","DrivingTypeExper_3","DrivingTypeExper_4","DrivingTypeExper_5","consideration_1","consideration_2","consideration_3","consideration_4","consideration_5","slowchargingaccess_1","slowchargingaccess_2","slowchargingaccess_3","slowchargingaccess_4","slowchargingaccess_5","fastchargingaccess","brandrank1","brankrank2","brandrank3","maintenance","income","sex","householdsize","YOB","zipcode","education","children","marriage","comments","sys_RespStatus","sys_DispositionCode","sys_CBCVersion_CBC","sys_UserAgent","sys_Browser","sys_OperatingSystem","sys_IPAddress","sys_UserJavaScript"
11,819495,2012-8-11 04:02,2012-8-11 04:11,501,1,1,1,1,2,3,1,19,"天语",2,7,12,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,1,3,1,3,3,3,2,3,3,2,1,1,2,5,2,4,5,2,5,4,3,4,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,1,2,20,2,6,1,5,48,"610000",5,1,1,"没有",5,,262,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; GTB7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; SE 2.X MetaSr 1.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
12,865184,2012-8-10 03:05,2012-8-10 03:17,694,5,1,1,1,1,3,1,,"",2,9,15,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,2,1,1,3,2,2,1,1,2,2,2,3,2,2,2,2,3,4,5,5,3,5,4,3,4,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,5,3,9,5,66,2,18,1,3,49,"610000",2,2,1,"无",5,,418,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; GTB7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; SE 2.X MetaSr 1.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
13,900702,2012-8-10 09:56,2012-8-10 10:09,782,1,1,1,1,2,3,1,31,"瑞虎",3,2,2,2,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,2,1,1,2,2,2,2,1,2,2,1,2,3,3,2,2,5,5,5,5,5,5,3,5,5,5,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,3,1,14,30,4,6,1,3,29,"610041",5,2,2,"无",5,,298,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; GTB7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; SE 2.X MetaSr 1.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
14,1003874,2012-8-10 08:59,2012-8-10 09:09,602,6,1,1,1,1,3,3,,"",1,9,15,3,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2,2,3,2,1,2,1,2,2,2,1,2,2,3,2,2,4,3,5,5,4,4,2,4,5,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,3,1,7,34,3,19,1,3,51,"",2,1,1,"无",5,,530,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; GTB7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; SE 2.X MetaSr 1.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
15,1053156,2012-8-10 03:42,2012-8-10 03:50,495,5,1,1,1,3,3,1,31,"a3",2,3,4,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,3,2,3,2,3,2,3,3,2,2,2,2,2,3,4,4,5,4,3,4,4,5,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,17,10,9,3,6,2,5,38,"",5,2,2,"无",5,,501,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; GTB7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; SE 2.X MetaSr 1.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
16,1141037,2012-8-11 06:49,2012-8-11 06:55,366,4,1,1,1,1,2,3,,"",1,9,15,1,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,1,2,3,2,3,3,3,3,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,"",2,,804,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; GTB7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; SE 2.X MetaSr 1.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
17,1212365,2012-8-10 09:42,2012-8-10 09:54,703,5,1,1,1,1,3,1,,"",2,9,15,3,,,4,,,,,,,,,,,,,,,,,4,,,,,,,,2,1,1,3,2,2,1,2,3,2,2,2,2,3,2,3,4,2,4,4,1,5,3,3,5,4,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,1,1,21,15,1,19,1,3,51,"610041",2,1,1,"无",5,,293,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; GTB7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; SE 2.X MetaSr 1.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
18,1444423,2012-8-10 08:29,2012-8-10 08:38,544,4,1,1,1,1,2,3,,"",1,9,15,1,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,2,2,3,3,2,2,1,3,3,1,3,2,1,4,5,5,5,4,5,3,3,4,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,3,1,22,20,2,11,1,2,47,"",5,1,1,"没有意见",5,,638,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; GTB7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; SE 2.X MetaSr 1.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
19,1537954,2012-8-11 05:50,2012-8-11 05:58,500,4,1,1,1,1,2,3,,"",1,9,15,2,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,2,1,1,3,2,2,1,3,1,2,3,2,2,1,3,2,4,5,5,5,4,5,3,3,5,5,1,0,0,0,0,0,2,0,4,0,0,0,3,0,0,,22,19,20,2,10,1,2,47,"",5,1,1,"没啥！",5,,984,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; GTB7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; SE 2.X MetaSr 1.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
20,1604430,2012-8-10 03:40,2012-8-10 03:41,17,-1,1,1,1,3,4,1,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,"",4,,,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; GTB7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; SE 2.X MetaSr 1.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
21,1620659,2012-8-11 08:52,2012-8-11 09:05,782,5,1,1,1,3,3,1,6,"赛欧",2,3,5,2,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,2,1,3,2,1,3,2,2,2,2,3,1,2,3,3,1,3,3,5,5,4,4,4,4,4,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,3,1,5,20,3,6,1,3,38,"",4,2,2,"无",5,,579,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; GTB7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; SE 2.X MetaSr 1.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
22,1623252,2012-8-9 06:24,2012-8-9 06:32,485,5,1,1,1,1,3,1,,"",1,9,15,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,2,1,1,1,3,2,3,3,2,3,2,1,2,3,1,2,4,4,5,5,3,5,4,4,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,1,4,13,3,2,2,1,45,"",5,1,1,"",5,,933,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; GTB7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; SE 2.X MetaSr 1.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
23,1667927,2012-8-9 06:06,2012-8-9 06:17,667,5,1,1,1,3,3,1,10,"飞度",2,6,6,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,3,3,3,1,1,1,3,1,2,1,1,2,1,5,5,5,5,2,3,2,3,4,5,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,3,9,19,1,5,8,1,2,36,"610041",4,1,2,"无",5,,615,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; GTB7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; SE 2.X MetaSr 1.0)","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
24,1058569,2012-8-11 06:10,2012-8-11 06:19,496,6,1,1,1,1,3,3,,"",1,10,16,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,3,1,1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,4,4,5,3,4,3,4,5,4,1,0,3,4,0,0,2,0,0,0,1,2,3,0,0,1,5,27,14,3,7,1,5,51,"610016",2,1,1,"无",5,,377,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727;  QIHU 360EE)","MSIE 7.0","Windows XP","127.0.0.1",1
25,1110193,2012-8-11 07:56,2012-8-11 08:04,466,6,1,1,1,1,3,3,,"",1,10,16,1,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,3,3,2,1,3,1,1,2,2,3,4,3,5,,4,4,2,3,5,5,0,0,0,0,5,0,2,3,0,0,0,0,3,0,0,1,9,34,12,1,11,1,5,50,"",1,1,1,"无",5,,521,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727;  QIHU 360EE)","MSIE 7.0","Windows XP","127.0.0.1",1
26,1511738,2012-8-11 04:09,2012-8-11 04:18,527,5,1,1,1,1,3,1,,"",1,10,16,1,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,3,1,1,1,2,3,3,1,1,2,3,1,3,4,5,5,3,4,4,3,3,4,1,0,0,0,0,1,2,0,0,0,1,2,3,0,0,1,1,1,46,1,,1,8,,"",8,7,6,"无",5,,235,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727;  QIHU 360EE)","MSIE 7.0","Windows XP","127.0.0.1",1
27,541486,2012-8-11 05:21,2012-8-11 05:31,641,1,1,1,1,2,3,1,19,"北斗星",2,5,10,2,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,2,2,3,2,3,1,2,2,1,2,1,3,2,2,3,2,2,4,4,5,3,4,4,4,5,5,1,0,0,0,0,1,0,3,0,0,1,0,0,0,0,2,11,16,15,1,6,1,3,44,"",4,2,2,"",5,,828,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; qdesk 2.3.1186.202; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; MAAU; .NET4.0C; BRI/2) QQBrowser/6.14.14517.201","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
28,550468,2012-8-10 03:19,2012-8-10 03:29,599,5,1,1,1,3,3,1,11,"伊兰特",2,3,5,2,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,4,4,3,4,3,4,3,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,10,19,56,1,6,1,5,43,"610000",4,2,2,"没得什么意见",5,,505,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; qdesk 2.3.1186.202; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; MAAU; .NET4.0C; BRI/2) QQBrowser/6.14.14517.201","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
29,650147,2012-8-11 02:51,2012-8-11 03:01,592,6,1,1,1,1,3,3,1,"",1,10,16,2,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,2,3,1,1,1,2,3,2,2,3,2,2,2,2,2,1,3,4,4,5,4,4,3,4,4,3,0,0,0,0,5,0,0,3,0,0,0,0,0,0,5,1,21,4,10,3,7,2,2,47,"610000",5,1,1,"没有什么意见",5,,992,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; qdesk 2.3.1186.202; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; MAAU; .NET4.0C; BRI/2) QQBrowser/6.14.14517.201","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
30,789713,2012-8-9 09:03,2012-8-9 09:08,269,3,1,1,1,1,2,1,4,"赛欧两厢",4,7,10,2,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,1,1,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,"",2,,481,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; qdesk 2.3.1186.202; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; MAAU; .NET4.0C; BRI/2) QQBrowser/6.14.14517.201","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
31,830430,2012-8-10 06:45,2012-8-10 06:54,552,5,1,1,1,3,3,1,16,"蓝瑟",2,5,9,1,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,2,2,2,3,1,3,1,2,3,1,1,1,4,1,5,5,5,1,1,5,5,5,1,0,0,0,0,1,2,3,4,0,0,0,0,0,5,3,2,9,15,5,10,1,2,42,"610000",5,1,2,"没有",5,,83,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; qdesk 2.3.1186.202; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; MAAU; .NET4.0C; BRI/2) QQBrowser/6.14.14517.201","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
32,1000508,2012-8-11 07:49,2012-8-11 07:59,600,3,1,1,1,3,2,1,21,"波罗",2,8,2,1,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,3,3,1,2,1,2,3,3,1,1,2,2,2,4,3,5,5,5,5,3,5,5,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,,20,13,12,4,4,1,5,34,"610041",2,2,6,"",5,,882,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; qdesk 2.3.1186.202; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; MAAU; .NET4.0C; BRI/2) QQBrowser/6.14.14517.201","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
33,1210260,2012-8-9 04:57,2012-8-9 04:57,0,,1,1,1,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,"",2,,,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; qdesk 2.3.1186.202; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; MAAU; .NET4.0C; BRI/2) QQBrowser/6.14.14517.201","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
34,1323164,2012-8-11 06:48,2012-8-11 06:58,606,5,1,1,1,3,3,1,27,"中华",2,5,10,3,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2,2,2,1,2,1,2,2,3,2,2,2,3,1,2,1,2,4,5,5,3,5,1,2,5,5,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,20,14,1,2,7,1,2,43,"610000",5,1,2,"",5,,969,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; qdesk 2.3.1186.202; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; MAAU; .NET4.0C; BRI/2) QQBrowser/6.14.14517.201","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
35,1350419,2012-8-10 06:09,2012-8-10 06:13,212,3,1,1,1,3,2,1,6,"乐风",2,3,9,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,"",2,,209,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; qdesk 2.3.1186.202; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; MAAU; .NET4.0C; BRI/2) QQBrowser/6.14.14517.201","MSIE 7.0","Windows NT 6.1","127.0.0.1",1
