X.sys_SequentialRespondentNumber,compcode,workerid,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_InternalRespNum,sys_CBCVersion_CBC,user,mtwid,consent1_1,consent2_1,consent3_1,pastbuyer,futurebuyer,primarybuyer,quota,CarMake,CarModel,VehicleOwnership,dailyvmt,annualvmt,carsizeselect,carimagesmall,carimagemid,carimagelarge,Topcarsmall_1,Topcarsmall_2,Topcarsmall_3,Topcarsmall_4,Topcarsmall_5,Topcarsmall_6,Topcarsmall_7,Topcarsmall_8,Topcarmid_1,Topcarmid_2,Topcarmid_3,Topcarmid_4,Topcarmid_5,Topcarmid_6,Topcarmid_7,Topcarmid_8,Topcarlarge_1,Topcarlarge_2,Topcarlarge_3,Topcarlarge_4,Topcarlarge_5,Topcarlarge_6,Topcarlarge_7,Topcarlarge_8,CBCFIX1,CBCRAN1,CBCRAN2,CBCRAN3,CBCRAN4,CBCRAN5,CBCRAN6,CBCRAN7,CBCRAN8,CBCRAN9,CBCRAN10,CBCRAN11,CBCRAN12,CBCRAN13,CBCRAN14,CBCRAN15,productuseratings_r1,productuseratings_r2,productuseratings_r3,productuseratings_r4,productuseratings_r5,productuseratings_r6,EnvLifeRatings_r1,EnvLifeRatings_r2,EnvLifeRatings_r3,EnvLifeRatings_r4,DrivingTypeExper_1,DrivingTypeExper_2,DrivingTypeExper_3,DrivingTypeExper_4,DrivingTypeExper_5,consideration_1,consideration_2,consideration_3,consideration_4,consideration_5,parkingHomeGarage,parkingHomeStructure,parkingHomeDriveway,parkingHomeStreet,parkingHomeOther,slowchargingaccess_1,slowchargingaccess_2,slowchargingaccess_3,slowchargingaccess_4,slowchargingaccess_5,slowchargingaccess_6,slowchargingaccess_7,slowchargingaccess_8,slowchargingaccess_9,fastchargingaccess,brandrank1,brankrank2,brandrank3,maintenance,income,sex,householdsize,YOB,zipcode,education,children,marriage,sys_RespStatus,sys_DispositionCode,sys_UserAgent,sys_Browser,sys_OperatingSystem,sys_IPAddress,sys_UserJavaScript,comments
11,281034266,A2XTM59WSJQV1H,9/17/12 12:52,9/17/12 13:02,591,520,137,3f2jk9,NA,NA,1,1,3,3,3,6,7,PT Cruiser,4,6,2,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,1,3,1,2,3,3,3,3,3,2,2,1,3,3,4,4,2,4,2,2,5,3,1,2,0,0,0,1,2,0,0,0,3,1,6,1,1,1,0,3,0,0,0,0,0,0,2,3,14,19,5,11,1,3,39,29461,4,1,1,5,NA,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,"Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko",98.124.115.28,1,
12,361229918,ARKZRVB9WN15M,9/17/12 4:30,9/17/12 4:39,553,463,100,3f2jk9,NA,NA,1,1,2,3,1,1,8,Taurus LX,4,3,4,1,8,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,2,3,3,2,3,1,2,1,1,2,1,2,4,2,4,5,4,3,3,2,4,4,0,0,0,0,5,0,2,0,4,0,1,1,5,1,1,0,0,3,0,0,0,0,0,0,3,17,16,21,4,5,1,5,49,16342,2,1,1,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:13.0) Gecko/20100101 Firefox/13.0.1,Firefox 13.0.1,Windows NT 6.1,108.32.60.41,1,
13,792306258,A3557KA7S6DMA0,9/17/12 2:36,9/17/12 2:44,526,412,59,3f2jk9,NA,NA,1,1,2,3,1,1,8,fusion,4,2,4,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,1,2,1,1,3,2,2,1,3,2,3,1,5,4,5,3,1,3,2,1,NA,4,1,2,0,0,0,1,2,3,0,0,3,1,4,3,1,1,0,3,0,0,0,0,0,0,2,8,21,14,2,9,1,2,40,57006,3,1,1,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Windows NT 6.1,209.62.244.72,1,
14,141794041,A3PZ8D1P6VWV0D,9/17/12 4:12,9/17/12 4:17,333,461,98,3f2jk9,NA,NA,1,1,1,2,1,3,21,Corolla,2,2,6,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,1,3,1,3,2,1,1,2,3,3,3,5,4,3,4,2,4,3,3,4,4,1,2,0,0,0,1,2,0,0,0,2,1,2,2,1,0,0,0,0,0,6,0,0,0,3,21,10,16,5,12,3,8,49,11102,5,6,6,5,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.47 Safari/536.11",Chrome 20.0.1132.47,Macintosh,207.38.248.80,1,none
15,305993872,A1XAMK40OP90ED,9/17/12 12:44,9/17/12 12:55,624,518,135,3f2jk9,NA,NA,1,1,3,2,1,3,24,1991,4,4,8,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,2,2,2,1,2,2,1,2,3,2,2,2,5,2,4,2,4,4,4,3,2,2,1,0,0,0,0,0,0,3,0,0,7,6,5,6,5,0,0,0,0,0,0,7,0,0,3,14,18,5,1,6,1,1,48,12207,5,1,1,5,NA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,Windows NT 6.1,74.76.123.6,1,
16,120014019,AKTIBNQI0L2LL,9/17/12 3:19,9/17/12 3:29,576,443,80,3f2jk9,NA,NA,1,1,3,3,1,5,21,camry,2,9,8,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,2,3,2,3,3,2,2,1,1,1,3,2,5,2,4,5,2,5,5,1,3,4,1,2,0,0,0,1,2,0,0,0,3,2,3,4,2,1,0,0,0,0,0,0,0,0,2,21,3,10,4,7,1,3,43,95207,5,1,1,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Windows NT 6.1,76.241.24.12,1,
17,374180337,AJZ5Z1ZXSET7V,9/15/12 20:28,9/15/12 20:52,1407,373,30,3f2jk9,NA,NA,1,1,2,2,1,1,21,Camry,3,4,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,1,2,2,1,1,3,1,1,2,2,2,1,2,4,4,5,5,1,4,4,3,4,4,1,2,0,0,0,1,2,3,0,0,3,1,3,3,1,1,0,3,0,0,0,0,0,0,1,21,9,24,4,10,2,4,35,77573,2,4,2,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0),MSIE 9.0,Windows Vista,98.198.219.228,1,
18,560160190,AES6VEI9TBCD5,9/17/12 3:25,9/17/12 3:37,713,448,85,3f2jk9,NA,NA,1,1,1,2,3,4,8,,2,1,1,1,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,3,2,1,1,2,1,3,1,3,1,3,2,2,3,4,5,4,2,2,4,4,4,1,0,0,0,0,0,2,3,0,0,3,4,3,3,1,1,0,0,0,0,6,7,0,0,NA,22,6,21,3,7,2,2,48,15214,3,1,1,5,NA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,Windows NT 6.1,66.233.154.160,1,
19,498166906,AOAJNPPUQSDB1,9/17/12 3:10,9/17/12 3:20,620,423,70,3f2jk9,NA,NA,1,1,1,3,1,5,NA,,3,1,1,1,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,1,1,3,3,3,3,3,1,2,2,1,1,5,3,5,5,1,3,2,3,4,4,1,0,0,0,0,1,2,3,0,0,3,1,2,2,1,0,0,0,0,0,0,0,0,0,3,1,1,1,5,9,1,4,49,6511,5,1,1,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Windows NT 6.1,69.117.249.57,1,
20,122101133,A2RHV5NOUM4WBB,9/17/12 7:04,9/17/12 7:14,595,490,117,3f2jk9,NA,NA,1,1,2,2,1,1,6,cavalier,3,9,3,1,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,1,2,2,1,1,3,1,2,1,3,2,1,5,5,5,4,1,1,1,1,4,4,1,2,0,0,0,0,2,3,0,0,1,1,3,2,2,0,0,3,0,0,0,0,0,0,2,6,8,16,3,2,1,2,46,26287,2,1,1,5,NA,Mozilla/5.0 (Windows NT 6.0; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0,Firefox 16.0,Windows Vista,70.101.134.220,1,
21,530433899,A1ECJN979P3PEW,9/17/12 2:25,9/17/12 2:36,691,406,53,3f2jk9,NA,NA,1,1,3,2,1,3,24,Saab,2,5,5,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,3,1,2,1,3,2,1,2,3,1,3,2,1,5,3,4,5,1,3,4,4,5,5,1,2,0,0,0,1,2,3,4,0,3,1,5,6,1,1,0,3,0,0,6,0,0,0,1,21,10,8,1,11,1,3,37,60005,5,2,2,5,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,Macintosh,69.47.85.21,1,
22,105935482,A3OZ288I9CBLWF,9/15/12 15:25,9/15/12 15:39,812,33,24,3f2jk9,NA,NA,1,1,3,2,1,3,1,,1,1,6,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,3,2,3,2,2,1,1,3,3,1,3,1,5,3,4,3,1,4,5,5,5,5,1,2,3,0,0,1,2,3,4,0,1,1,2,2,1,0,0,3,0,0,0,0,0,0,3,21,19,10,4,6,2,2,39,98122,5,1,1,5,NA,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Linux i686,66.233.46.185,1,
23,316562347,A2RNKBKAA5NIOI,9/17/12 12:49,9/17/12 13:04,874,519,136,3f2jk9,NA,NA,1,1,3,3,1,5,10,Civic,3,6,4,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,1,1,3,3,2,3,2,2,2,3,1,2,5,4,4,5,2,5,4,2,5,4,1,0,0,0,0,1,2,3,4,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,3,10,3,14,3,8,2,2,45,62061,5,1,1,5,NA,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,"Windows XP) AppleWebKit/537.1 (KHTML, like Gecko",24.91.191.183,1,
24,169952979,823121,9/15/12 1:53,9/15/12 2:08,894,20,11,3f2jk9,NA,NA,1,1,3,3,1,5,8,Explorer,4,4,3,3,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,3,3,2,3,1,1,1,3,3,4,5,3,4,1,4,4,3,3,2,1,2,0,0,0,1,2,3,0,0,3,7,6,1,1,1,0,3,0,0,0,0,0,0,2,8,2,5,5,11,1,5,49,7410,5,NA,1,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Windows NT 6.1,173.70.187.50,1,Electric cars wouldn't do it for me since I often drive 200+ miles t a time.
25,136353172,A38OOGMA0M6KFC,9/17/12 3:06,9/17/12 3:13,437,421,68,3f2jk9,NA,NA,1,1,3,3,3,6,21,Camry,4,2,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,1,1,2,3,2,2,1,3,1,2,2,2,5,4,5,5,4,4,5,2,5,5,1,0,0,0,0,1,2,0,0,0,3,1,3,3,1,1,0,0,0,0,0,0,0,0,3,21,10,11,5,10,2,4,49,94015,7,1,1,5,NA,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,"Windows Vista) AppleWebKit/537.1 (KHTML, like Gecko",76.102.91.208,1,"overall, it's really difficult to decide on a car"
26,493544595,A3RYH6OUH7BJ4Z,9/17/12 3:21,9/17/12 3:29,506,445,82,3f2jk9,NA,NA,1,1,2,4,1,1,10,Civic,2,2,4,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,3,3,3,2,1,3,3,2,1,1,3,3,5,4,4,4,2,4,4,4,4,5,1,0,0,0,0,1,2,3,4,0,2,1,1,3,1,1,0,0,0,0,0,0,0,0,3,10,19,8,5,5,1,2,49,94702,5,1,3,5,NA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,Windows NT 6.1,24.7.100.171,1,
27,130554994,A1E0EK09CA5OIO,9/15/12 15:28,9/15/12 15:55,1600,34,25,3f2jk9,NA,NA,1,1,3,2,1,3,6,Impala,2,4,3,1,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,1,2,3,3,3,2,2,2,1,1,2,2,5,2,5,5,1,5,2,3,5,5,1,0,0,0,0,1,2,3,0,0,3,7,4,7,7,1,0,3,0,0,6,0,0,0,3,6,4,10,1,7,2,2,17,43528,4,2,2,5,NA,Mozilla/5.0 (Windows NT 5.1; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Windows XP,24.52.77.74,1,"that was interesting, I wish I could remember how to calculate how much the cost per mile and the cost of the car are figured out to see which is most economical--like what point one offsets the other."
28,620163159,asl95z7ghqu96,9/17/12 2:39,9/17/12 2:49,553,414,61,3f2jk9,NA,NA,1,1,3,2,1,3,4,le Sabre,3,2,1,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,2,1,3,2,3,3,2,3,3,2,1,1,5,2,4,4,1,4,4,2,4,4,1,2,0,0,0,1,2,0,0,0,2,1,2,2,1,1,0,0,0,0,0,0,0,0,3,4,11,21,3,8,2,2,27,78109,4,1,3,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Windows NT 6.1,70.114.41.248,1,when I got to the final page (after this) it said please answer question 1 and wouldnt move to 100% complete :(
29,341093487,A131HEQD0WXM8N,9/15/12 14:06,9/15/12 14:16,598,27,18,3f2jk9,NA,NA,1,1,2,2,1,1,21,,2,6,1,1,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,3,1,1,1,2,2,1,1,1,2,1,1,5,5,4,5,5,4,5,5,5,5,1,0,0,0,0,1,0,0,0,0,3,3,2,4,3,1,0,3,4,0,0,0,0,9,1,15,8,6,1,2,1,4,36,55343,3,3,2,5,NA,Mozilla/5.0 (Windows NT 5.1; rv:14.0) Gecko/20100101 Firefox/14.0,Firefox 14.0,Windows XP,223.234.213.221,1,I LIKE AND ENJOYING THIS SURVEY
